episode,cumulativeReward,course,flag_get
0,324.0,6-3,False
1,981.0,2-3,False
2,1085.0,8-1,False
3,186.0,8-3,False
4,192.0,7-1,False
5,173.0,1-4,False
6,1143.0,2-2,False
7,-200.0,5-2,False
8,-38.0,5-3,False
9,-81.0,8-3,False
10,167.0,1-4,False
11,205.0,8-2,False
12,-165.0,6-2,False
13,152.0,6-2,False
14,226.0,6-3,False
15,150.0,4-2,False
16,231.0,1-1,False
17,664.0,3-1,False
18,171.0,1-4,False
19,353.0,2-3,False
20,455.0,8-3,False
21,148.0,4-2,False
22,123.0,5-1,False
23,1120.0,3-1,False
24,135.0,8-2,False
25,310.0,2-4,False
26,324.0,6-1,False
27,227.0,5-3,False
28,213.0,3-4,False
29,385.0,5-2,False
30,479.0,1-4,False
31,245.0,5-4,False
32,676.0,3-1,False
33,210.0,4-2,False
34,681.0,7-2,False
35,918.0,3-2,False
36,1082.0,7-2,False
37,324.0,5-3,False
38,321.0,1-3,False
39,774.0,2-1,False
40,368.0,6-2,False
41,949.0,8-3,False
42,59.0,2-2,False
43,-165.0,6-2,False
44,228.0,3-3,False
45,243.0,2-4,False
46,108.0,8-3,False
47,125.0,2-4,False
48,75.0,4-4,False
49,75.0,4-4,False
50,1137.0,7-2,False
51,341.0,1-3,False
52,147.0,8-1,False
53,446.0,5-4,False
54,492.0,3-1,False
55,1003.0,2-3,False
56,134.0,8-2,False
57,241.0,5-4,False
58,119.0,8-4,False
59,263.0,4-2,False
60,536.0,7-3,False
61,1097.0,2-2,False
62,248.0,8-2,False
63,1094.0,2-2,False
64,258.0,2-1,False
65,110.0,1-2,False
66,166.0,6-4,False
67,507.0,1-2,False
68,86.0,8-4,False
69,436.0,7-2,False
70,59.0,2-2,False
71,75.0,4-4,False
72,87.0,8-4,False
73,242.0,7-4,False
74,289.0,5-2,False
75,398.0,2-1,False
76,171.0,6-4,False
77,309.0,5-4,False
78,1490.0,2-2,False
79,87.0,8-4,False
80,365.0,8-3,False
81,282.0,7-1,False
82,699.0,7-3,False
83,225.0,1-3,False
84,399.0,1-2,False
85,173.0,8-3,False
86,404.0,6-3,False
87,174.0,8-3,False
88,352.0,2-4,False
89,313.0,7-1,False
90,806.0,7-3,False
91,167.0,1-4,False
92,726.0,8-1,False
93,168.0,7-1,False
94,244.0,5-3,False
95,744.0,8-3,False
96,261.0,8-2,False
97,214.0,3-4,False
98,303.0,6-3,False
99,138.0,8-2,False
100,493.0,3-1,False
101,134.0,8-2,False
102,288.0,6-1,False
103,227.0,3-3,False
104,399.0,7-2,False
105,227.0,6-3,False
106,168.0,6-4,False
107,171.0,6-4,False
108,276.0,3-2,False
109,288.0,6-1,False
110,468.0,7-1,False
111,447.0,8-3,False
112,94.0,5-3,False
113,298.0,6-2,False
114,344.0,3-3,False
115,1322.0,8-3,False
116,169.0,1-4,False
117,1097.0,7-2,False
118,995.0,2-3,False
119,243.0,7-1,False
120,85.0,5-3,False
121,240.0,2-1,False
122,275.0,6-1,False
123,93.0,8-4,False
124,191.0,1-1,False
125,174.0,1-4,False
126,222.0,5-3,False
