episode,total_reward,x_pos,time,flag_get,loss,epsilon,steps,course,time
1,1065.0,1125,131,False,0,1.0,5380,1-1,2025-12-10 03:13:53.610612
2,953.0,898,312,False,0,0.99988,1777,1-1,2025-12-10 03:13:57.907191
3,278.0,300,393,False,0,0.99976,147,1-1,2025-12-10 03:13:58.260423
4,971.0,898,341,False,0,0.99964,1193,1-1,2025-12-10 03:14:01.151664
5,1474.0,1433,165,False,0,0.99952,4718,1-1,2025-12-10 03:14:12.099188
6,1005.0,898,365,False,0,0.9994,715,1-1,2025-12-10 03:14:13.757695
7,286.0,301,392,False,0,0.99928,161,1-1,2025-12-10 03:14:14.129364
8,760.0,681,386,False,0,0.99916,287,1-1,2025-12-10 03:14:14.786203
9,299.0,310,394,False,0,0.99904,121,1-1,2025-12-10 03:14:15.058954
10,271.0,295,393,False,0,0.99892,157,1-1,2025-12-10 03:14:15.430494
11,271.0,289,392,False,0,0.9988,159,1-1,2025-12-10 03:14:15.790313
12,1039.0,1129,127,False,0,0.99868,5472,1-1,2025-12-10 03:14:28.503428
13,280.0,296,392,False,0,0.99856,167,1-1,2025-12-10 03:14:28.876270
14,277.0,305,393,False,0,0.99844,141,1-1,2025-12-10 03:14:29.191054
15,911.0,840,361,False,0,0.99832,789,1-1,2025-12-10 03:14:31.011903
16,286.0,298,393,False,0,0.9982,145,1-1,2025-12-10 03:14:31.335972
17,911.0,821,369,False,0,0.99808,629,1-1,2025-12-10 03:14:32.777019
18,1228.0,1138,290,False,0,0.99796,2214,1-1,2025-12-10 03:14:37.764740
19,287.0,306,393,False,0,0.99784,143,1-1,2025-12-10 03:14:38.085533
20,754.0,683,379,False,0,0.99772,427,1-1,2025-12-10 03:14:39.060924
21,903.0,898,260,False,0,0.9976,2811,1-1,2025-12-10 03:14:45.519749
22,729.0,837,161,False,0,0.99748,4779,1-1,2025-12-10 03:14:56.606411
23,1587.0,1443,270,False,0,0.99736,2610,1-1,2025-12-10 03:15:02.620288
24,1663.0,1434,345,False,0,0.99724,1114,1-1,2025-12-10 03:15:05.185274
25,295.0,304,393,False,0,0.99712,155,1-1,2025-12-10 03:15:05.554424
26,717.0,662,370,False,0,0.997,601,1-1,2025-12-10 03:15:06.943881
27,992.0,898,357,False,0,0.99688,869,1-1,2025-12-10 03:15:08.966119
28,855.0,826,305,False,0,0.99676,1905,1-1,2025-12-10 03:15:13.409927
29,287.0,296,392,False,0,0.99664,163,1-1,2025-12-10 03:15:13.782532
30,770.0,692,380,False,0,0.99652,403,1-1,2025-12-10 03:15:14.711789
31,733.0,662,378,False,0,0.9964,451,1-1,2025-12-10 03:15:15.747851
32,883.0,850,302,False,0,0.99628,1977,1-1,2025-12-10 03:15:20.297868
33,792.0,847,225,False,0,0.99616,3505,1-1,2025-12-10 03:15:28.383496
34,1597.0,1435,307,False,0,0.99604,1861,1-1,2025-12-10 03:15:32.641614
35,713.0,669,361,False,0,0.99592,797,1-1,2025-12-10 03:15:34.484712
36,735.0,698,369,False,0,0.9958,625,1-1,2025-12-10 03:15:35.904301
37,850.0,859,265,False,0,0.99568,2709,1-1,2025-12-10 03:15:42.163206
38,1104.0,1134,170,False,0,0.99556,4607,1-1,2025-12-10 03:15:52.763620
39,768.0,693,381,False,0,0.99544,387,1-1,2025-12-10 03:15:53.657908
40,301.0,310,394,False,0,0.99532,133,1-1,2025-12-10 03:15:53.955787
41,284.0,301,394,False,0,0.9952,137,1-1,2025-12-10 03:15:54.265881
42,1180.0,1154,203,False,0,0.99508,3954,1-1,2025-12-10 03:16:03.128443
43,291.0,306,394,False,0,0.99496,133,1-1,2025-12-10 03:16:03.441340
44,293.0,304,392,False,0,0.99484,163,1-1,2025-12-10 03:16:03.815476
45,758.0,689,377,False,0,0.99472,471,1-1,2025-12-10 03:16:04.906270
46,947.0,863,348,False,0,0.9946,1045,1-1,2025-12-10 03:16:07.321558
47,787.0,701,381,False,0,0.99448,381,1-1,2025-12-10 03:16:08.204946
48,301.0,313,394,False,0,0.99436,127,1-1,2025-12-10 03:16:08.510603
