episode,total_reward,x_pos,time,flag_get,loss,epsilon,steps,truncated,stuck,course,time
1,1718.0,1854,220,False,9.09415340423584,1.0,1603,False,False,3-2,2025-12-11 18:51:44.493379
2,945.0,1038,264,False,4.58571195602417,0.999005,719,False,False,1-4,2025-12-11 18:51:54.084108
3,167.0,232,291,False,5.582355499267578,0.99801,194,False,False,1-4,2025-12-11 18:51:56.246332
4,181.0,303,334,False,5.285192012786865,0.997015,1319,False,False,6-2,2025-12-11 18:52:19.145291
5,278.0,343,293,False,2.6939172744750977,0.99602,141,False,False,5-4,2025-12-11 18:52:21.865414
6,96.0,157,396,False,2.798621892929077,0.995025,97,False,False,8-4,2025-12-11 18:52:22.779388
7,445.0,518,384,False,8.359001159667969,0.99403,329,False,False,7-2,2025-12-11 18:52:25.854129
8,574.0,669,362,False,3.0621554851531982,0.993035,759,False,False,1-1,2025-12-11 18:52:37.733493
9,319.0,385,291,False,5.536485195159912,0.99204,181,False,False,4-3,2025-12-11 18:52:40.114675
10,212.0,281,287,False,4.953768730163574,0.991045,267,False,False,6-3,2025-12-11 18:52:45.387698
11,169.0,233,292,False,3.7750837802886963,0.99005,168,False,False,1-4,2025-12-11 18:52:46.551033
12,389.0,468,378,False,1.338740348815918,0.989055,451,False,False,4-1,2025-12-11 18:52:53.514659
13,598.0,694,362,False,11.783287048339844,0.98806,761,False,False,1-1,2025-12-11 18:53:03.576076
14,136.0,202,391,False,7.403904438018799,0.987065,191,False,False,4-2,2025-12-11 18:53:06.907495
15,275.0,341,391,False,4.939749717712402,0.98607,197,False,False,3-1,2025-12-11 18:53:08.756355
16,216.0,278,293,False,4.97610330581665,0.985075,142,False,False,5-3,2025-12-11 18:53:10.084553
17,293.0,368,282,False,4.215579032897949,0.98408,361,False,False,8-3,2025-12-11 18:53:14.860138
18,269.0,338,386,False,3.0705819129943848,0.983085,293,False,False,6-1,2025-12-11 18:53:17.567637
19,104.0,168,393,False,7.413858890533447,0.98209,151,False,False,8-2,2025-12-11 18:53:20.456341
20,1417.0,1540,334,False,2.7759103775024414,0.981095,1331,False,False,2-2,2025-12-11 18:53:34.436027
21,155.0,215,296,False,3.4354233741760254,0.9801,97,False,False,8-1,2025-12-11 18:53:35.380371
22,168.0,229,294,False,3.015848159790039,0.979105,138,False,False,6-4,2025-12-11 18:53:36.655767
23,413.0,484,285,False,2.6496071815490723,0.97811,309,False,False,3-2,2025-12-11 18:53:38.787280
24,621.0,722,354,False,2.4628467559814453,0.977115,919,False,False,1-1,2025-12-11 18:53:51.023256
25,367.0,437,287,False,1.9100850820541382,0.97612,259,False,False,5-1,2025-12-11 18:53:53.456921
26,212.0,274,293,False,2.7851452827453613,0.975125,155,False,False,3-4,2025-12-11 18:53:56.619647
27,266.0,345,376,False,2.1606407165527344,0.97413,483,False,False,7-2,2025-12-11 18:54:00.058739
28,445.0,518,384,False,4.893383026123047,0.973135,323,False,False,7-2,2025-12-11 18:54:03.701183
29,216.0,284,288,False,7.784156799316406,0.97214,256,False,False,2-4,2025-12-11 18:54:06.104625
30,283.0,348,393,False,4.307102203369141,0.971145,153,False,False,4-2,2025-12-11 18:54:07.512068
31,211.0,280,286,False,2.3491687774658203,0.97015,280,False,False,3-4,2025-12-11 18:54:11.582385
32,247.0,312,291,False,3.3067984580993652,0.969155,183,False,False,5-4,2025-12-11 18:54:12.924961
33,608.0,681,384,False,6.786787033081055,0.96816,331,False,False,1-1,2025-12-11 18:54:16.662797
34,62.0,121,297,False,3.412207841873169,0.967165,71,False,False,2-3,2025-12-11 18:54:17.333792
35,113.0,173,296,False,2.0084872245788574,0.96617,79,False,False,5-3,2025-12-11 18:54:17.898505
36,500.0,584,374,False,3.4485223293304443,0.965175,537,False,False,5-2,2025-12-11 18:54:23.570917
37,457.0,529,384,False,4.396806240081787,0.96418,329,False,False,4-1,2025-12-11 18:54:26.791549
38,241.0,307,291,False,2.573793411254883,0.963185,189,False,False,5-4,2025-12-11 18:54:28.882615
39,431.0,498,388,False,2.12221097946167,0.96219,247,False,False,6-1,2025-12-11 18:54:31.208390
40,375.0,457,375,False,2.9137518405914307,0.961195,506,False,False,5-2,2025-12-11 18:54:36.243811
41,349.0,425,381,False,3.808657169342041,0.9601999999999999,387,False,False,2-1,2025-12-11 18:54:40.825586
42,105.0,168,393,False,3.517965078353882,0.959205,147,False,False,1-2,2025-12-11 18:54:42.196111
43,258.0,324,291,False,4.269158840179443,0.95821,183,False,False,8-1,2025-12-11 18:54:44.419160
44,276.0,342,290,False,3.2094221115112305,0.957215,217,False,False,2-3,2025-12-11 18:54:46.991206
45,367.0,436,289,False,5.093629837036133,0.95622,220,False,False,3-3,2025-12-11 18:54:49.351180
46,386.0,453,289,False,5.143087387084961,0.955225,232,False,False,1-4,2025-12-11 18:54:51.733335
47,221.0,285,292,False,6.305484294891357,0.95423,168,False,False,5-3,2025-12-11 18:54:54.471271
48,44.0,110,390,False,5.247486591339111,0.953235,205,False,False,1-2,2025-12-11 18:54:55.948879
49,637.0,722,370,False,1.9449825286865234,0.95224,603,False,False,5-2,2025-12-11 18:55:03.499428
50,273.0,336,392,False,5.019317626953125,0.951245,167,False,False,2-1,2025-12-11 18:55:04.706980
51,370.0,437,288,False,2.1311707496643066,0.95025,255,False,False,3-4,2025-12-11 18:55:07.165656
52,256.0,323,390,False,1.8991858959197998,0.949255,217,False,False,7-4,2025-12-11 18:55:09.252665
53,649.0,724,282,False,5.736583232879639,0.94826,364,False,False,5-3,2025-12-11 18:55:12.770947
54,151.0,213,395,False,4.720926284790039,0.947265,103,False,False,8-2,2025-12-11 18:55:13.767934
55,614.0,715,356,False,3.3503894805908203,0.94627,885,False,False,5-2,2025-12-11 18:55:20.153755
56,694.0,770,280,False,3.434737205505371,0.945275,408,False,False,6-3,2025-12-11 18:55:24.027260
57,256.0,322,391,False,2.0081515312194824,0.94428,193,False,False,7-4,2025-12-11 18:55:25.447750
58,114.0,176,394,False,13.28528118133545,0.943285,135,False,False,8-2,2025-12-11 18:55:26.405940
59,289.0,358,388,False,2.295650005340576,0.94229,239,False,False,7-1,2025-12-11 18:55:28.633265
60,701.0,898,258,False,3.303096055984497,0.941295,2849,False,False,1-1,2025-12-11 18:55:55.329296
61,273.0,339,392,False,2.43253755569458,0.9403,166,False,False,7-4,2025-12-11 18:55:56.847533
62,77.0,138,395,False,5.349048137664795,0.9393050000000001,105,False,False,4-4,2025-12-11 18:55:57.832247
63,263.0,341,378,False,2.8394742012023926,0.93831,454,False,False,8-2,2025-12-11 18:56:02.125015
64,276.0,342,389,False,2.717820644378662,0.937315,234,False,False,8-2,2025-12-11 18:56:04.323967
65,610.0,778,290,False,2.8772640228271484,0.93632,2259,False,False,3-1,2025-12-11 18:56:25.777233
66,312.0,380,289,False,2.0293033123016357,0.935325,220,False,False,2-4,2025-12-11 18:56:27.807155
67,3789.0,970,209,False,3.46738338470459,0.93433,3835,False,False,4-4,2025-12-11 18:57:05.492322
68,437.0,509,385,False,2.0457956790924072,0.933335,311,False,False,7-2,2025-12-11 18:57:07.711433
