episode,total_reward,x_pos,time,flag_get,loss,epsilon,steps,truncated,stuck,course,time
1,244.0,310,392,False,None,1.0,163,False,False,1-1,2025-12-10 21:55:03.238900
2,227.0,291,391,False,None,0.999005,189,False,False,1-1,2025-12-10 21:55:03.814940
3,228.0,294,391,False,None,0.99801,181,False,False,1-1,2025-12-10 21:55:04.330309
4,615.0,882,190,False,4.7130632400512695,0.997015,4203,False,False,1-1,2025-12-10 21:55:58.112650
5,584.0,665,376,False,2.7362136840820312,0.99602,497,False,False,1-1,2025-12-10 21:56:01.912234
6,189.0,258,387,False,3.134014844894409,0.995025,267,False,False,1-1,2025-12-10 21:56:04.691287
7,719.0,850,326,False,6.274267196655273,0.99403,1495,False,False,1-1,2025-12-10 21:56:17.380510
8,1296.0,1442,312,False,3.4373443126678467,0.993035,1766,False,False,1-1,2025-12-10 21:56:36.048760
9,1177.0,1407,226,False,2.12815523147583,0.99204,3487,False,False,1-1,2025-12-10 21:57:06.563971
10,557.0,722,290,False,1.8784997463226318,0.991045,2208,True,True,1-1,2025-12-10 21:57:24.324804
11,236.0,301,392,False,1.232140302658081,0.99005,161,False,False,1-1,2025-12-10 21:57:25.931630
12,636.0,721,370,False,1.1909756660461426,0.989055,603,False,False,1-1,2025-12-10 21:57:30.911744
13,713.0,898,270,False,1.8831193447113037,0.98806,2605,False,False,1-1,2025-12-10 21:57:50.888307
14,609.0,690,375,False,2.1110477447509766,0.987065,503,False,False,1-1,2025-12-10 21:57:55.152459
15,1024.0,1128,352,False,4.7513298988342285,0.98607,972,False,False,1-1,2025-12-10 21:58:03.854806
16,243.0,307,393,False,1.968652606010437,0.985075,147,False,False,1-1,2025-12-10 21:58:05.342939
17,679.0,829,308,False,9.6992826461792,0.98408,1857,False,False,1-1,2025-12-10 21:58:19.343913
18,634.0,721,369,False,5.603020668029785,0.983085,623,False,False,1-1,2025-12-10 21:58:24.395498
19,653.0,898,210,False,3.2512173652648926,0.98209,3799,False,False,1-1,2025-12-10 21:58:58.647909
20,600.0,680,378,False,2.7643847465515137,0.981095,447,False,False,1-1,2025-12-10 21:59:02.769257
21,622.0,722,355,False,1.7472096681594849,0.9801,900,True,True,1-1,2025-12-10 21:59:10.000836
22,1199.0,1416,240,False,2.6803224086761475,0.979105,3215,False,False,1-1,2025-12-10 21:59:39.908178
23,828.0,1127,157,False,2.234386682510376,0.97811,4865,False,False,1-1,2025-12-10 22:00:27.536259
24,235.0,300,392,False,1.6251869201660156,0.977115,167,False,False,1-1,2025-12-10 22:00:29.164364
25,739.0,849,347,False,2.08782958984375,0.97612,1073,False,False,1-1,2025-12-10 22:00:37.223750
26,951.0,1128,279,False,3.1097235679626465,0.975125,2431,False,False,1-1,2025-12-10 22:00:56.838076
27,606.0,693,371,False,0.7839251756668091,0.97413,597,False,False,1-1,2025-12-10 22:01:01.292658
28,624.0,705,376,False,2.281585216522217,0.973135,481,False,False,1-1,2025-12-10 22:01:04.350651
29,1203.0,1428,233,False,6.43595027923584,0.97214,3342,False,False,1-1,2025-12-10 22:01:26.741886
30,606.0,685,379,False,5.525784492492676,0.971145,431,False,False,1-1,2025-12-10 22:01:29.434509
31,596.0,677,376,False,4.832297325134277,0.97015,479,False,False,1-1,2025-12-10 22:01:32.439288
32,775.0,898,332,False,2.1936819553375244,0.969155,1369,False,False,1-1,2025-12-10 22:01:41.260844
33,631.0,720,365,False,4.437312126159668,0.96816,713,False,False,1-1,2025-12-10 22:01:46.130145
34,236.0,300,393,False,9.654637336730957,0.967165,155,False,False,1-1,2025-12-10 22:01:47.129737
35,560.0,647,369,False,6.500113487243652,0.96617,623,False,False,1-1,2025-12-10 22:01:51.317549
36,589.0,666,379,False,3.408588409423828,0.965175,431,False,False,1-1,2025-12-10 22:01:54.215860
37,654.0,800,311,False,3.3199853897094727,0.96418,1797,False,False,1-1,2025-12-10 22:02:05.677065
38,193.0,260,389,False,3.314467668533325,0.963185,221,False,False,1-1,2025-12-10 22:02:07.098385
39,633.0,709,381,False,3.651801347732544,0.96219,381,False,False,1-1,2025-12-10 22:02:09.559332
40,228.0,292,392,False,3.3110923767089844,0.961195,167,False,False,1-1,2025-12-10 22:02:10.623216
41,620.0,846,231,False,2.4771971702575684,0.9601999999999999,3383,False,False,1-1,2025-12-10 22:02:34.162083
42,611.0,683,386,False,2.6238040924072266,0.959205,293,False,False,1-1,2025-12-10 22:02:35.994069
43,634.0,722,367,False,5.2971930503845215,0.95821,661,False,False,1-1,2025-12-10 22:02:40.473804
44,224.0,290,390,False,3.42136287689209,0.957215,209,False,False,1-1,2025-12-10 22:02:41.804680
45,761.0,868,350,False,3.219951629638672,0.95622,1009,False,False,1-1,2025-12-10 22:02:48.405585
46,763.0,898,320,False,2.7245707511901855,0.955225,1599,False,False,1-1,2025-12-10 22:02:58.645399
47,603.0,681,378,False,5.407532691955566,0.95423,457,False,False,1-1,2025-12-10 22:03:01.733987
48,243.0,305,394,False,3.3819754123687744,0.953235,127,False,False,1-1,2025-12-10 22:03:02.542448
49,245.0,308,394,False,3.4837450981140137,0.95224,135,False,False,1-1,2025-12-10 22:03:03.382540
50,237.0,308,387,False,2.3461756706237793,0.951245,269,False,False,1-1,2025-12-10 22:03:05.109491
51,215.0,283,390,False,2.4926648139953613,0.95025,217,False,False,1-1,2025-12-10 22:03:06.493650
52,229.0,292,393,False,1.8452892303466797,0.949255,157,False,False,1-1,2025-12-10 22:03:07.577876
53,586.0,680,363,False,2.6633658409118652,0.94826,755,False,False,1-1,2025-12-10 22:03:13.383353
54,618.0,712,363,False,3.393784761428833,0.947265,745,False,False,1-1,2025-12-10 22:03:18.095847
