episode,total_reward,x_pos,time,flag_get,loss,epsilon,steps,truncated,stuck,course,time
1,164.0,227,395,False,None,1.0,106,False,False,4-2,2025-12-11 21:47:10.497833
2,146.0,209,393,False,None,0.9995025,156,False,False,4-2,2025-12-11 21:47:12.189800
3,259.0,326,289,False,None,0.999005,219,False,False,3-2,2025-12-11 21:47:13.382079
4,361.0,434,384,False,None,0.9985075,325,False,False,4-1,2025-12-11 21:47:15.189199
5,245.0,309,393,False,None,0.99801,153,False,False,1-1,2025-12-11 21:47:16.041326
6,869.0,960,267,False,13.464449882507324,0.9975125,675,False,False,2-3,2025-12-11 21:47:24.517817
7,368.0,438,287,False,11.649576187133789,0.997015,273,False,False,8-1,2025-12-11 21:47:27.201454
8,458.0,531,383,False,7.431544303894043,0.9965175,359,False,False,7-2,2025-12-11 21:47:31.793265
9,273.0,341,387,False,9.408815383911133,0.99602,266,False,False,8-2,2025-12-11 21:47:35.206570
10,307.0,468,296,False,3.520803451538086,0.9955225,2097,False,False,1-2,2025-12-11 21:48:00.894828
11,227.0,413,270,False,3.24981951713562,0.995025,2601,False,False,6-2,2025-12-11 21:48:32.390628
12,273.0,339,291,False,1.5310842990875244,0.9945275,193,False,False,6-4,2025-12-11 21:48:35.090871
13,278.0,389,346,False,2.3329007625579834,0.99403,1095,False,False,6-2,2025-12-11 21:48:45.332077
14,130.0,192,295,False,2.4639673233032227,0.9935325,109,False,False,3-2,2025-12-11 21:48:46.077818
15,632.0,721,366,False,11.379290580749512,0.993035,683,False,False,1-1,2025-12-11 21:48:54.280683
16,356.0,424,289,False,3.5540738105773926,0.9925375,233,False,False,1-3,2025-12-11 21:48:57.452060
17,242.0,307,293,False,2.3211452960968018,0.99204,155,False,False,1-3,2025-12-11 21:48:58.490805
18,624.0,742,238,False,2.6415371894836426,0.9915425,1248,False,False,8-1,2025-12-11 21:49:14.440291
19,217.0,288,385,False,2.6003689765930176,0.991045,299,False,False,8-2,2025-12-11 21:49:17.337971
20,233.0,297,292,False,3.3202037811279297,0.9905475,167,False,False,5-4,2025-12-11 21:49:18.841959
21,206.0,268,394,False,2.5419678688049316,0.99005,127,False,False,4-2,2025-12-11 21:49:20.896011
22,108.0,174,289,False,2.706942558288574,0.9895525,221,False,False,2-3,2025-12-11 21:49:24.045009
23,1101.0,1234,322,False,2.227785110473633,0.989055,1575,False,False,2-2,2025-12-11 21:49:44.702137
24,105.0,170,292,False,1.9710925817489624,0.9885575,175,False,False,8-1,2025-12-11 21:49:45.912452
25,301.0,366,393,False,3.502380847930908,0.98806,158,False,False,6-1,2025-12-11 21:49:47.359087
26,302.0,368,291,False,1.4700037240982056,0.9875625,179,False,False,4-3,2025-12-11 21:49:50.589274
27,369.0,452,373,False,4.555319786071777,0.987065,546,False,False,5-2,2025-12-11 21:49:57.547791
28,247.0,314,290,False,2.7891597747802734,0.9865675,205,False,False,2-4,2025-12-11 21:49:59.606731
29,716.0,798,275,False,2.5756101608276367,0.98607,513,False,False,7-3,2025-12-11 21:50:05.572622
30,346.0,411,293,False,2.1468350887298584,0.9855725,154,False,False,4-3,2025-12-11 21:50:07.770849
